Member_number,Recency,Frequency,Monetary,Cluster
KH1436,304.0,2.0,13.49,Churned Customers
KH1437,137.0,4.0,20.05,Big Spenders
KH1438,32.0,17.0,188.94,Loyal Customers
KH1439,139.0,3.0,16.3,Big Spenders
KH1440,24.0,12.0,102.6,Potential Loyalists
KH1442,121.0,13.0,88.1,Potential Loyalists
KH1443,82.0,11.0,93.4,Potential Loyalists
KH1444,1.0,20.0,163.32,Loyal Customers
KH1445,607.0,6.0,25.8,One-time Shoppers
KH1446,484.0,8.0,63.26,One-time Shoppers
KH1447,573.0,3.0,30.0,One-time Shoppers
KH1448,286.0,4.0,39.1,Churned Customers
KH1449,88.0,9.0,54.45,Potential Loyalists
KH1450,44.0,16.0,109.4,Potential Loyalists
KH1451,337.0,6.0,54.56,Churned Customers
KH1452,35.0,15.0,191.04,Loyal Customers
KH1453,404.0,4.0,34.8,Churned Customers
KH1454,69.0,11.0,110.7,Potential Loyalists
KH1455,287.0,2.0,20.4,Churned Customers
KH1456,40.0,18.0,168.74,Loyal Customers
KH1457,355.0,12.0,139.4,Churned Customers
KH1458,128.0,7.0,46.9,Big Spenders
KH1459,165.0,4.0,32.66,Big Spenders
KH1460,189.0,10.0,163.7,Big Spenders
KH1461,9.0,8.0,77.3,Potential Loyalists
KH1462,462.0,4.0,19.7,One-time Shoppers
KH1463,6.0,6.0,35.1,Potential Loyalists
KH1464,210.0,5.0,21.8,Big Spenders
KH1465,51.0,17.0,190.96,Loyal Customers
KH1466,29.0,23.0,213.4,Loyal Customers
KH1467,132.0,5.0,73.0,Big Spenders
KH1468,82.0,15.0,105.24,Potential Loyalists
KH1469,489.0,2.0,9.5,One-time Shoppers
KH1470,567.0,2.0,29.7,One-time Shoppers
KH1471,496.0,4.0,16.8,One-time Shoppers
KH1472,102.0,16.0,112.6,Potential Loyalists
KH1473,89.0,10.0,93.9,Potential Loyalists
KH1474,154.0,12.0,84.8,Big Spenders
KH1475,13.0,10.0,106.93,Potential Loyalists
KH1476,126.0,13.0,111.84,Big Spenders
KH1477,40.0,17.0,172.9,Loyal Customers
KH1478,321.0,8.0,71.2,Churned Customers
KH1479,229.0,14.0,95.29,Big Spenders
KH1480,39.0,13.0,114.44,Potential Loyalists
KH1481,209.0,4.0,23.8,Big Spenders
KH1482,38.0,20.0,115.28,Potential Loyalists
KH1483,186.0,20.0,173.62,Big Spenders
KH1484,84.0,8.0,143.6,Loyal Customers
KH1485,171.0,4.0,51.9,Big Spenders
KH1486,16.0,17.0,115.9,Potential Loyalists
KH1487,423.0,7.0,34.9,Churned Customers
KH1488,32.0,8.0,96.8,Potential Loyalists
KH1489,190.0,13.0,60.7,Big Spenders
KH1490,87.0,4.0,45.5,Potential Loyalists
KH1491,0.0,11.0,108.4,Potential Loyalists
KH1492,335.0,11.0,98.0,Churned Customers
KH1493,90.0,15.0,113.7,Potential Loyalists
KH1494,92.0,16.0,175.74,Loyal Customers
KH1495,355.0,9.0,62.5,Churned Customers
KH1496,613.0,2.0,16.8,One-time Shoppers
KH1497,81.0,9.0,123.42,Loyal Customers
KH1498,63.0,8.0,56.1,Potential Loyalists
KH1499,51.0,10.0,48.5,Potential Loyalists
KH1500,284.0,16.0,127.52,Churned Customers
KH1501,135.0,10.0,122.6,Big Spenders
KH1502,60.0,7.0,49.3,Potential Loyalists
KH1503,135.0,9.0,94.5,Big Spenders
KH1504,30.0,11.0,151.7,Loyal Customers
KH1505,64.0,8.0,100.56,Potential Loyalists
KH1506,370.0,5.0,76.0,Churned Customers
KH1507,191.0,16.0,130.6,Big Spenders
KH1508,45.0,8.0,35.9,Potential Loyalists
KH1509,0.0,18.0,148.4,Loyal Customers
KH1510,66.0,18.0,174.51,Loyal Customers
KH1511,283.0,4.0,40.42,Churned Customers
KH1512,101.0,10.0,59.21,Potential Loyalists
KH1513,48.0,10.0,115.8,Potential Loyalists
KH1514,128.0,10.0,63.54,Big Spenders
KH1515,32.0,13.0,93.1,Potential Loyalists
KH1516,336.0,4.0,70.72,Churned Customers
KH1517,151.0,10.0,56.7,Big Spenders
KH1518,19.0,7.0,66.45,Potential Loyalists
KH1519,428.0,2.0,13.4,Churned Customers
KH1520,307.0,6.0,81.5,Churned Customers
KH1521,369.0,6.0,86.8,Churned Customers
KH1522,371.0,19.0,216.19,Churned Customers
KH1523,277.0,10.0,124.75,Big Spenders
KH1524,25.0,10.0,59.1,Potential Loyalists
KH1525,431.0,5.0,61.1,Churned Customers
KH1526,34.0,11.0,84.49,Potential Loyalists
KH1527,0.0,14.0,65.9,Potential Loyalists
KH1528,106.0,8.0,85.5,Potential Loyalists
KH1529,196.0,7.0,49.7,Big Spenders
KH1530,445.0,5.0,40.9,Churned Customers
KH1531,345.0,4.0,27.7,Churned Customers
KH1532,193.0,6.0,93.3,Big Spenders
KH1533,53.0,6.0,60.14,Potential Loyalists
KH1534,139.0,18.0,153.31,Loyal Customers
KH1535,180.0,8.0,114.36,Big Spenders
KH1536,242.0,8.0,60.4,Big Spenders
KH1537,332.0,5.0,16.0,Churned Customers
KH1538,30.0,6.0,45.55,Potential Loyalists
KH1539,94.0,5.0,37.6,Potential Loyalists
KH1540,34.0,12.0,130.9,Loyal Customers
KH1542,145.0,13.0,136.2,Big Spenders
KH1544,308.0,9.0,74.16,Churned Customers
KH1545,74.0,7.0,36.8,Potential Loyalists
KH1546,361.0,9.0,51.8,Churned Customers
KH1547,256.0,7.0,57.5,Big Spenders
KH1548,455.0,6.0,45.1,Churned Customers
KH1549,287.0,9.0,120.85,Churned Customers
KH1550,230.0,7.0,67.95,Big Spenders
KH1551,141.0,13.0,92.7,Big Spenders
KH1552,720.0,2.0,80.1,One-time Shoppers
KH1553,162.0,14.0,95.7,Big Spenders
KH1554,223.0,15.0,183.5,Big Spenders
KH1555,278.0,2.0,37.2,Churned Customers
KH1556,578.0,2.0,20.9,One-time Shoppers
KH1557,148.0,4.0,108.6,Big Spenders
KH1558,268.0,2.0,15.4,Churned Customers
KH1559,88.0,7.0,103.0,Potential Loyalists
KH1560,593.0,2.0,1.9,One-time Shoppers
KH1561,158.0,20.0,136.15,Big Spenders
KH1562,233.0,6.0,66.9,Big Spenders
KH1563,612.0,5.0,35.0,One-time Shoppers
KH1564,68.0,8.0,83.0,Potential Loyalists
KH1565,16.0,19.0,234.79,Loyal Customers
KH1566,41.0,21.0,145.76,Loyal Customers
KH1567,263.0,17.0,192.08,Big Spenders
KH1568,661.0,4.0,48.9,One-time Shoppers
KH1569,589.0,8.0,46.4,One-time Shoppers
